13CZ1WF3F_R1	Parent
13CZ1WF3F_R2	Parent
13CZ3WF28M_R	Parent
13CZ3WF28M_Lclon	Parent
25_2013_JUV01_R	25
25_2013_JUV01_Lclon	25
25_2013_JUV02_R	25
25_2013_JUV02_Lclon	25
25_2013_JUV03_R	25
25_2013_JUV03_Lclon	25
25_2013_JUV04_R	25
25_2013_JUV04_Lclon	25
25_2013_JUV05_R	25
25_2013_JUV05_Lclon	25
25_2013_JUV06_R	25
25_2013_JUV06_Lclon	25
25_2013_JUV07_R	25
25_2013_JUV07_Lclon	25
25_2013_JUV08_R	25
25_2013_JUV08_Lclon	25
25_2013_JUV09_R	25
25_2013_JUV09_Lclon	25
25_2013_JUV10_R	25
25_2013_JUV10_Lclon	25
25_2013_JUV11_R	25
25_2013_JUV11_Lclon	25
25_2013_JUV12_R	25
25_2013_JUV12_Lclon	25
25_2013_JUV13_R	25
25_2013_JUV13_Lclon	25
25_2013_JUV14_R	25
25_2013_JUV14_Lclon	25
25_2013_JUV15_R	25
25_2013_JUV15_Lclon	25
25_2013_JUV16_R	25
25_2013_JUV16_Lclon	25
27_2013_JUV023_R	27
27_2013_JUV023_Rclon	27
27_2013_JUV04_R	27
27_2013_JUV04_Lclon	27
27_2013_JUV05_R	27
27_2013_JUV05_Lclon	27
27_2013_JUV06_R	27
27_2013_JUV06_Lclon	27
27_2013_JUV07_R	27
27_2013_JUV07_Lclon	27
27_2013_JUV08_R	27
27_2013_JUV08_Lclon	27
27_2013_JUV09_R	27
27_2013_JUV09_Lclon	27
27_2013_JUV1_R	27
27_2013_JUV1_Lclon	27
27_2013_JUV10_R	27
27_2013_JUV10_Lclon	27
27_2013_JUV11_R	27
27_2013_JUV11_Rclon	27
27_2013_JUV12_R	27
27_2013_JUV12_Rclon	27
27_2013_JUV15_R	27
27_2013_JUV15_Rclon	27
27_2013_JUV16_R	27
27_2013_JUV16_Rclon	27
27_2013_JUV18_R	27
27_2013_JUV18_Rclon	27
13CZ3WF10F_R1	Parent
13CZ3WF10F_R2	Parent
13CZ3WF40M_Rclon	Parent
13CZ3WF40M_Lclon	Parent
30_2013_JUV01_R	30
30_2013_JUV01_Lclon	30
30_2013_JUV02_R	30
30_2013_JUV02_Rclon	30
30_2013_JUV02B_R	30
30_2013_JUV02B_Lclon	30
30_2013_JUV03_R	30
30_2013_JUV03_Rclon	30
30_2013_JUV04_R	30
30_2013_JUV04_Rclon	30
30_2013_JUV05_R	30
30_2013_JUV05_Lclon	30
30_2013_JUV06_R	30
30_2013_JUV06_Lclon	30
30_2013_JUV07_R	30
30_2013_JUV07_Rclon	30
30_2013_JUV08_R	30
30_2013_JUV08_Rclon	30
30_2013_JUV09_R	30
30_2013_JUV09_Rclon	30
30_2013_JUV10_R	30
30_2013_JUV10_Lclon	30
30_2013_JUV12_R	30
30_2013_JUV12_Rclon	30
30_2013_JUV13_R	30
30_2013_JUV13_Rclon	30
30_2013_JUV14_R	30
30_2013_JUV14_Lclon	30
30_2013_JUV15_R	30
30_2013_JUV15_Rclon	30
30_2013_JUV16_R	30
30_2013_JUV16_Rclon	30
30_2013_JUV1B_R	30
30_2013_JUV1B_Lclon	30
30_2013_JUV22_R	30
30_2013_JUV22_Lclon	30
30_2013_JUV23_R	30
30_2013_JUV23_Rclon	30
13CZ3WF11F_R1	Parent
13CZ3WF11F_R2	Parent
13CZ3WF31M_Rclon	Parent
13CZ3WF31M_L	Parent
39_2013_JUV01_R	39
39_2013_JUV01_Rclon	39
39_2013_JUV01B_R	39
39_2013_JUV01B_Rclon	39
39_2013_JUV02_R	39
39_2013_JUV02_Rclon	39
39_2013_JUV02B_R	39
39_2013_JUV02B_Rclon	39
39_2013_JUV03B_R	39
39_2013_JUV03B_Rclon	39
39_2013_JUV04B_R	39
39_2013_JUV04B_Rclon	39
39_2013_JUV07B_R	39
39_2013_JUV07B_Rclon	39
39_2013_JUV08B_R	39
39_2013_JUV08B_Rclon	39
39_2013_JUV09B_R	39
39_2013_JUV09B_Rclon	39
39_2013_JUV10_R	39
39_2013_JUV10_Rclon	39
39_2013_JUV18_R	39
39_2013_JUV18_Rclon	39
13CZ3WF38M_R	Parent
13CZ3WF38M_Lclon	Parent
41_2013_JUV01_R	41
41_2013_JUV01_Lclon	41
41_2013_JUV02_R	41
41_2013_JUV02_Lclon	41
41_2013_JUV03_R	41
41_2013_JUV03_Lclon	41
41_2013_JUV04_R	41
41_2013_JUV04_Lclon	41
41_2013_JUV05_R	41
41_2013_JUV05_Lclon	41
41_2013_JUV06_R	41
41_2013_JUV06_Lclon	41
41_2013_JUV07_R	41
41_2013_JUV07_Lclon	41
41_2013_JUV08_R	41
41_2013_JUV08_Lclon	41
41_2013_JUV09_R	41
41_2013_JUV09_Lclon	41
41_2013_JUV10_R	41
41_2013_JUV10_Lclon	41
41_2013_JUV11_R	41
41_2013_JUV11_Lclon	41
41_2013_JUV13_R	41
41_2013_JUV13_Lclon	41
41_2013_JUV14_R	41
41_2013_JUV14_Lclon	41
41_2013_JUV15_R	41
41_2013_JUV15_Lclon	41
